"scenario","scenarioname","R2020","R2100","A2020marsh","A2020mangrove","year","k","rSLR","A2100marsh","A2100mangrove","Amarsh","Amangrove","Atotal","SL","marshgain","mangrovegain","marshelev","mangroveelev","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
2,"Area loss/high slr",3.5,8,52880,147349,2074,0.0103334821648058,6.11516043680852,32257,2937,35310.1773650075,24316.7919621523,59626.9693271599,257.886229391412,6.11516043680852,6.11516043680852,257.886229391412,257.886229391412,16.4818753846448,11.2250287641266,27.7069041487714,-15.9006894846682,-110.113826193874,-126.014515678542,0.581185899976649,-98.8887974297471,-98.3076115297704
2,"Area loss/high slr",3.5,8,52880,147349,2075,0.0103334821648058,6.1786789566507,32257,2937,34999.1215255998,22138.6318554489,57137.7533810488,264.064908348063,6.1786789566507,6.1786789566507,264.064908348063,264.064908348063,16.7280920704356,10.4644040674305,27.1924961378661,-16.1821950193321,-112.063279489373,-128.245474508705,0.545897051103463,-101.598875421943,-101.052978370839
2,"Area loss/high slr",3.5,8,52880,147349,2076,0.0103334821648058,6.24285724697717,32257,2937,34715.3218608621,20151.3323750581,54866.6542359202,270.30776559504,6.24285724697717,6.24285724697717,270.30776559504,270.30776559504,16.9847161622613,9.75024031423622,26.7349564764976,-16.4390337159198,-113.841912524323,-130.280946240243,0.545682446341555,-104.091672210087,-103.545989763745
2,"Area loss/high slr",3.5,8,52880,147349,2077,0.0103334821648058,6.30770216086154,32257,2937,34457.2801189412,18344.4020528794,52801.6821718206,276.615467755901,6.30770216086154,6.30770216086154,276.615467755901,276.615467755901,17.2518641504316,9.08307818466159,26.3349423350932,-16.6725614923582,-115.459115162673,-132.131676655031,0.579302658073384,-106.376036978011,-105.796734319938
2,"Area loss/high slr",3.5,8,52880,147349,2078,0.0103334821648058,6.37322062256069,32257,2937,34223.3920146143,16706.6069250102,50929.9989396245,282.988688378462,6.37322062256069,6.37322062256069,282.988688378462,282.988688378462,17.5295474007205,8.46272759792407,25.9922749986446,-16.884230226774,-116.924941802116,-133.80917202889,0.645317173946502,-108.462214204192,-107.816897030245
2,"Area loss/high slr",3.5,8,52880,147349,2079,0.0103334821648058,6.43941962825415,32257,2937,34011.9976051798,15226.3232875538,49238.3208927336,289.428108006716,6.43941962825415,6.43941962825415,289.428108006716,289.428108006716,17.817690890677,7.8883974344174,25.7060883250944,-17.0755421673123,-118.249795657639,-135.325337824952,0.742148723364721,-110.361398223222,-109.619249499857
2,"Area loss/high slr",3.5,8,52880,147349,2080,0.0103334821648058,6.50630624679114,32257,2937,33821.4232465781,13891.8314932278,47713.2547398059,295.934414253507,6.50630624679114,6.50630624679114,295.934414253507,295.934414253507,18.1161507706298,7.35881711838366,25.4749678890135,-17.2480119618468,-119.444165813561,-136.692177775408,0.868138808783023,-112.085348695177,-111.217209886394
2,"Area loss/high slr",3.5,8,52880,147349,2081,0.0103334821648058,6.57388762044546,32257,2937,33650.0154113726,12691.5527608561,46341.5681722287,302.508301873953,6.57388762044546,6.57388762044546,302.508301873953,302.508301873953,18.4247303264292,6.87234713215616,25.2970774585854,-17.4031360527078,-120.518415279034,-137.921551331742,1.02159427372143,-113.646068146878,-112.624473873156
2,"Area loss/high slr",3.5,8,52880,147349,2082,0.0103334821648058,6.64217096567809,32257,2937,33496.1669865386,11614.2333249288,45110.4003114674,309.150472839631,6.64217096567809,6.64217096567809,309.150472839631,309.150472839631,18.7431941105886,6.42707684608805,25.1702709566766,-17.5423688771826,-121.482616174189,-139.024985051371,1.20082523340596,-115.055539328101,-113.854714094695
2,"Area loss/high slr",3.5,8,52880,147349,2083,0.0103334821648058,6.71116357390779,32257,2937,33358.3368704618,10649.0816630522,44007.418533514,315.861636413539,6.71116357390779,6.71116357390779,315.861636413539,315.861636413539,19.071280158208,6.02090908510362,25.0921892433117,-17.6671051322321,-122.346426911568,-140.0135320438,1.40417502597593,-116.325517826465,-114.921342800489
2,"Area loss/high slr",3.5,8,52880,147349,2084,0.0103334821648058,6.78087281228974,32257,2937,33235.063782541,9785.86519731875,43020.9289798597,322.642509225828,6.78087281228974,6.78087281228974,322.642509225828,322.642509225828,19.4087103152738,5.65163162295344,25.0603419382273,-17.7786672768004,-123.1190056484,-140.8976729252,1.6300430384734,-117.467374025446,-115.837330986973
2,"Area loss/high slr",3.5,8,52880,147349,2085,0.0103334821648058,6.85130612450215,32257,2937,33124.9752128038,9014.97296375036,42139.9481765542,329.49381535033,6.85130612450215,6.85130612450215,329.49381535033,329.49381535033,19.7551987839159,5.31697632842007,25.0721751123359,-17.8782974324126,-123.808954197443,-141.687251629856,1.8769013515033,-118.491977869023,-116.61507651752
2,"Area loss/high slr",3.5,8,52880,147349,2086,0.0103334821648058,6.92247103154114,32257,2937,33026.792397698,8327.45045514041,41354.2428528384,336.416286381872,6.92247103154114,6.92247103154114,336.416286381872,336.416286381872,20.1104590376648,5.01466702329378,25.1251260609586,-17.9671528800833,-124.424286842649,-142.391439722733,2.14330615758151,-119.409619819356,-117.266313661774
