"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI","Habitat","CN","centerdepth","Ndensity","BDclass"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.09,0.37,0.64,NA,"marsh",8.35135135135135,0.225,2.368,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,3.86,0.36,0.96,NA,"marsh",10.7222222222222,0.4,3.456,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.47,0.06,1.27,NA,"marsh",7.83333333333333,0.75,0.762,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.82,0.5,0.52,NA,"marsh",7.64,0.075,2.6,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.41,0.3,0.88,NA,"marsh",8.03333333333333,0.225,2.64,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.48,0.3,1.12,NA,"marsh",8.26666666666667,0.4,3.36,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.7,0.09,1.32,NA,"marsh",7.77777777777778,0.75,1.188,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0,0.15,6.96,0.75,0.35,NA,"marsh",9.28,0.075,2.625,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.38,0.39,0.57,NA,"marsh",8.66666666666667,0.225,2.223,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.51,0.27,1.02,NA,"marsh",9.29629629629629,0.4,2.754,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.58,0.08,1.53,NA,"marsh",7.25,0.75,1.224,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.92,0.48,0.5,NA,"marsh",8.16666666666667,0.075,2.4,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.02,0.37,0.7,NA,"marsh",8.16216216216216,0.225,2.59,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,0.84,0.1,1.29,NA,"marsh",8.4,0.4,1.29,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.15,0.02,1.94,NA,"marsh",7.5,0.75,0.388,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.56,0.42,0.79,NA,"marsh",8.47619047619048,0.075,3.318,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.24,0.27,0.87,NA,"marsh",8.2962962962963,0.225,2.349,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.13,0.24,1.12,NA,"marsh",8.875,0.4,2.688,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.22,0.03,2.32,NA,"marsh",7.33333333333333,0.75,0.696,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0,0.15,15.56,1.6,0.52,NA,"marsh",9.725,0.075,8.32,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,10.9,1.2,0.64,NA,"marsh",9.08333333333333,0.225,7.68,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,8.34,1.09,0.96,NA,"marsh",7.65137614678899,0.4,10.464,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.5,1,2.6,0.3,1.27,NA,"marsh",8.66666666666667,0.75,3.81,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0,0.15,14.5,1.34,0.52,NA,"marsh",10.8208955223881,0.075,6.968,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,4.67,0.54,0.88,NA,"marsh",8.64814814814815,0.225,4.752,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,11.2,1.43,1.12,NA,"marsh",7.83216783216783,0.4,16.016,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.5,1,7.48,0.85,1.32,NA,"marsh",8.8,0.75,11.22,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0,0.15,6.55,0.63,0.35,NA,"marsh",10.3968253968254,0.075,2.205,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,3.67,0.42,0.57,NA,"marsh",8.73809523809524,0.225,2.394,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,2.37,0.32,1.02,NA,"marsh",7.40625,0.4,3.264,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.12,0.12,1.53,NA,"marsh",9.33333333333333,0.75,1.836,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0,0.15,3.24,0.34,0.5,NA,"marsh",9.52941176470588,0.075,1.7,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,2.6,0.3,0.7,NA,"marsh",8.66666666666667,0.225,2.1,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.25,0.17,1.29,NA,"marsh",7.35294117647059,0.4,2.193,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.5,1,0.82,0.1,1.94,NA,"marsh",8.2,0.75,1.94,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0,0.15,4.01,0.37,0.79,NA,"marsh",10.8378378378378,0.075,2.923,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,1.68,0.2,0.87,NA,"marsh",8.4,0.225,1.74,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.12,0.14,1.12,NA,"marsh",8,0.4,1.568,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.34,0.16,2.32,NA,"marsh",8.375,0.75,3.712,"BD>0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,29.25,0.94,0.28,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",31.1170212765957,0.075,2.632,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,28.21,1.09,0.21,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",25.8807339449541,0.225,2.289,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,26.55,0.83,0.18,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",31.9879518072289,0.4,1.494,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.44,28.1,1.25,0.13,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",22.48,0.97,1.625,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,27.2,0.9,0.19,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",30.2222222222222,0.075,1.71,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,20.03,0.81,0.18,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.7283950617284,0.225,1.458,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,14.08,0.56,0.27,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",25.1428571428571,0.4,1.512,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,31.02,1.03,0.17,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",30.1165048543689,0.075,1.751,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,25.4,1.02,0.19,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.9019607843137,0.225,1.938,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,6.88,0.4,0.35,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",17.2,0.4,1.4,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,22.53,1.08,0.25,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",20.8611111111111,0.075,2.7,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,14.87,0.71,0.21,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",20.943661971831,0.225,1.491,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,18,0.73,0.21,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.6575342465753,0.4,1.533,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,23.95,0.93,0.22,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",25.752688172043,0.075,2.046,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,21.51,0.9,0.17,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",23.9,0.225,1.53,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,21.21,0.82,0.2,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",25.8658536585366,0.4,1.64,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,18.57,0.88,0.39,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",21.1022727272727,0.075,3.432,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,26.38,1.19,0.16,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",22.1680672268908,0.225,1.904,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,2.4,0.15,0.78,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",16,0.4,1.17,"BD>0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0,0.15,22.09,1,0.22,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",22.09,0.075,2.2,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,22.75,0.92,0.18,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.7282608695652,0.225,1.656,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,23.32,0.82,0.23,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",28.4390243902439,0.4,1.886,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.5,1.44,10.22,0.43,0.33,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",23.7674418604651,0.97,1.419,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0,0.15,22.08,0.95,0.34,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",23.2421052631579,0.075,3.23,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,24.93,1.02,0.15,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.4411764705882,0.225,1.53,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,8.57,0.43,0.38,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",19.9302325581395,0.4,1.634,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0,0.15,21.06,1.07,0.37,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",19.6822429906542,0.075,3.959,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,17.88,1.02,0.18,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",17.5294117647059,0.225,1.836,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,24.14,0.91,0.14,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",26.5274725274725,0.4,1.274,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0,0.15,23.04,0.99,0.25,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",23.2727272727273,0.075,2.475,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,19.85,1.07,0.3,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",18.5514018691589,0.225,3.21,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,21.18,0.78,0.27,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",27.1538461538462,0.4,2.106,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0,0.15,24.11,1.4,0.28,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",17.2214285714286,0.075,3.92,"BD<0.5"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,30.09,1.23,0.21,"https://bg.copernicus.org/articles/12/3805/2015/","mangrove",24.4634146341463,0.225,2.583,"BD<0.5"
