"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"47","Trettin et al. 2020","Ruffiji",8,"Deltaic mangrove",2015,-7.76533,39.297976,1.1,1.85,0.6,0.04,0.6
"48","Trettin et al. 2020","Ruffiji",8,"Deltaic mangrove",2015,-7.76533,39.297976,1.85,2,0.31,0.02,0.6
"49","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,0,0.15,2.1,0.14,0.41
"50","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,0.15,0.3,2.78,0.12,0.4
"51","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,0.3,0.45,3.04,0.13,0.44
"52","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,0.45,1.1,2.48,0.08,0.6
"53","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,1.1,1.85,1.26,0.05,1.27
"54","Trettin et al. 2020","Ruffiji",9,"Deltaic mangrove",2015,-7.778774,39.300586,1.85,2,0.72,0.03,2.21
"55","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,0,0.15,1.31,0.12,0.79
"56","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,0.15,0.3,1.5,0.12,0.72
"57","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,0.3,0.45,1.19,0.11,0.74
"58","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,0.45,1.1,1.27,0.1,0.77
"59","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,1.1,1.85,1.1,0.07,0.85
"60","Trettin et al. 2020","Ruffiji",10,"Deltaic mangrove",2015,-7.798374,39.319382,1.85,2,0.73,0.06,0.89
"61","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,0,0.15,1.57,0.14,0.74
"62","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,0.15,0.3,1.4,0.12,0.79
"63","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,0.3,0.45,1.14,0.09,0.77
"64","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,0.45,1.1,2.57,0.11,0.64
"65","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,1.1,1.85,1.78,0.06,0.8
"66","Trettin et al. 2020","Ruffiji",11,"Deltaic mangrove",2015,-7.810767,39.316144,1.85,2,1.04,0.06,0.93
"67","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,0,0.15,2.18,0.14,0.8
"68","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,0.15,0.3,2.13,0.13,0.81
"69","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,0.3,0.45,2.6,0.15,0.88
"70","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,0.45,1.1,2.54,0.14,0.88
"71","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,1.1,1.85,1.79,0.1,0.77
"72","Trettin et al. 2020","Ruffiji",12,"Deltaic mangrove",2015,-7.838769,39.243489,1.85,2,1.86,0.1,0.79
"73","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,0,0.15,2,0.17,0.56
"74","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,0.15,0.3,1.84,0.15,0.46
"75","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,0.3,0.45,1.76,0.14,0.64
"76","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,0.45,1.1,1.65,0.12,0.7
"77","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,1.1,1.85,2.38,0.11,0.58
"78","Trettin et al. 2020","Ruffiji",13,"Deltaic mangrove",2015,-7.762685,39.298524,1.85,2,1.43,0.08,0.75
"79","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,0,0.15,1.72,0.15,0.66
"80","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,0.15,0.3,1.34,0.13,0.76
"81","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,0.3,0.45,1.38,0.12,0.78
"82","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,0.45,1.1,1.31,0.11,0.66
"83","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,1.1,1.85,1.87,0.12,0.74
"84","Trettin et al. 2020","Ruffiji",14,"Deltaic mangrove",2015,-7.787997,39.300607,1.85,2,3.88,0.16,0.91
"85","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,0,0.15,1.35,0.1,0.6
"86","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,0.15,0.3,2.42,0.15,0.81
