"alpha.3","area_tidal_marsh_km2","area_mangrove_km2","area_total_km2","car_marsh","car_mangrove","car_total_ggy","name","alpha.2","country.code","iso_3166.2","region","supercontinent","continent","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","category","value","habitat"
"HND",0,676.91,676.91,0,117.2,117.21,"Honduras","HN",340,"ISO 3166-2:HN","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",5.479195886,"Mangrove"
"HRV",5.38,0,5.38,1.72,0,1.72,"Croatia","HR",191,"ISO 3166-2:HR","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",0.115127,"Marsh"
"HRV",5.38,0,5.38,1.72,0,1.72,"Croatia","HR",191,"ISO 3166-2:HR","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"HTI",0,146.67,146.67,0,18.34,18.34,"Haiti","HT",332,"ISO 3166-2:HT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"HTI",0,146.67,146.67,0,18.34,18.34,"Haiti","HT",332,"ISO 3166-2:HT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.857410005,"Mangrove"
"IDN",0,27987.28,27987.28,0,14709.61,14706.87,"Indonesia","ID",360,"ISO 3166-2:ID","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"IDN",0,27987.28,27987.28,0,14709.61,14706.87,"Indonesia","ID",360,"ISO 3166-2:ID","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",687.686302,"Mangrove"
"IND",0,4134.28,4134.28,0,488.67,488.67,"India","IN",356,"ISO 3166-2:IN","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_marsh",0,"Marsh"
"IND",0,4134.28,4134.28,0,488.67,488.67,"India","IN",356,"ISO 3166-2:IN","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_mangrove",22.8457223,"Mangrove"
"IRL",98.86,0,98.86,12.7,0,12.7,"Ireland","IE",372,"ISO 3166-2:IE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",0.850067,"Marsh"
"IRL",98.86,0,98.86,12.7,0,12.7,"Ireland","IE",372,"ISO 3166-2:IE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"IRN",20,120.99,140.99,0.35,2.04,2.39,"Iran (Islamic Republic of)","IR",364,"ISO 3166-2:IR","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_marsh",0.023427,"Marsh"
"IRN",20,120.99,140.99,0.35,2.04,2.39,"Iran (Islamic Republic of)","IR",364,"ISO 3166-2:IR","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_mangrove",0.095371669,"Mangrove"
"ISL",26.17,0,26.17,3.36,0,3.36,"Iceland","IS",352,"ISO 3166-2:IS","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",0.2249,"Marsh"
"ISL",26.17,0,26.17,3.36,0,3.36,"Iceland","IS",352,"ISO 3166-2:IS","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"ITA",439.42,0,439.42,132.89,0,132.89,"Italy","IT",380,"ISO 3166-2:IT","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",8.894913,"Marsh"
"ITA",439.42,0,439.42,132.89,0,132.89,"Italy","IT",380,"ISO 3166-2:IT","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"JAM",0,98.46,98.46,0,12.31,12.31,"Jamaica","JM",388,"ISO 3166-2:JM","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"JAM",0,98.46,98.46,0,12.31,12.31,"Jamaica","JM",388,"ISO 3166-2:JM","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.575502571,"Mangrove"
"JPN",0,10,10,0,1.86,1.86,"Japan","JP",392,"ISO 3166-2:JP","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_marsh",0,"Marsh"
"JPN",0,10,10,0,1.86,1.86,"Japan","JP",392,"ISO 3166-2:JP","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_mangrove",0.086956522,"Mangrove"
"KEN",0,399.48,399.48,0,11.59,11.59,"Kenya","KE",404,"ISO 3166-2:KE","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"KEN",0,399.48,399.48,0,11.59,11.59,"Kenya","KE",404,"ISO 3166-2:KE","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.541841982,"Mangrove"
"KHM",0,476.07,476.07,0,148.1,148.1,"Cambodia","KH",116,"ISO 3166-2:KH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"KHM",0,476.07,476.07,0,148.1,148.1,"Cambodia","KH",116,"ISO 3166-2:KH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",6.923796166,"Mangrove"
"KIR",0,0.18,0.18,0,0.02,0.02,"Kiribati","KI",296,"ISO 3166-2:KI","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"KIR",0,0.18,0.18,0,0.02,0.02,"Kiribati","KI",296,"ISO 3166-2:KI","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0.000935016,"Mangrove"
"KNA",0,0.53,0.53,0,0.07,0.07,"Saint Kitts and Nevis","KN",659,"ISO 3166-2:KN","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"KNA",0,0.53,0.53,0,0.07,0.07,"Saint Kitts and Nevis","KN",659,"ISO 3166-2:KN","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.003272557,"Mangrove"
"LBR",0,101.75,101.75,0,27.83,27.83,"Liberia","LR",430,"ISO 3166-2:LR","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"LBR",0,101.75,101.75,0,27.83,27.83,"Liberia","LR",430,"ISO 3166-2:LR","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",1.301075269,"Mangrove"
"LCA",0,1.4,1.4,0,0.21,0.21,"Saint Lucia","LC",662,"ISO 3166-2:LC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"LCA",0,1.4,1.4,0,0.21,0.21,"Saint Lucia","LC",662,"ISO 3166-2:LC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.009817672,"Mangrove"
"LKA",0,218.16,218.16,0,52.38,52.38,"Sri Lanka","LK",144,"ISO 3166-2:LK","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_marsh",0,"Marsh"
"LKA",0,218.16,218.16,0,52.38,52.38,"Sri Lanka","LK",144,"ISO 3166-2:LK","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_mangrove",2.448807854,"Mangrove"
"LVA",0.71,0,0.71,0.23,0,0.23,"Latvia","LV",428,"ISO 3166-2:LV","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",0.015395,"Marsh"
"LVA",0.71,0,0.71,0.23,0,0.23,"Latvia","LV",428,"ISO 3166-2:LV","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"MAC",0,0.11,0.11,0,0.02,0.03,"Macao","MO",446,"ISO 3166-2:MO","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_marsh",0,"Marsh"
"MAC",0,0.11,0.11,0,0.02,0.03,"Macao","MO",446,"ISO 3166-2:MO","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_mangrove",0.000935016,"Mangrove"
"MAF",0,0.15,0.15,0,0.02,0.02,"Saint Martin (French part)","MF",663,"ISO 3166-2:MF","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"MAF",0,0.15,0.15,0,0.02,0.02,"Saint Martin (French part)","MF",663,"ISO 3166-2:MF","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.000935016,"Mangrove"
"MAR",0,10.29,10.29,0,1.32,1.32,"Morocco","MA",504,"ISO 3166-2:MA","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_marsh",0,"Marsh"
"MAR",0,10.29,10.29,0,1.32,1.32,"Morocco","MA",504,"ISO 3166-2:MA","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_mangrove",0.06171108,"Mangrove"
"MDG",58.1,2412.11,2470.21,13.91,557.04,570.95,"Madagascar","MG",450,"ISO 3166-2:MG","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0.931058,"Marsh"
"MDG",58.1,2412.11,2470.21,13.91,557.04,570.95,"Madagascar","MG",450,"ISO 3166-2:MG","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",26.04207574,"Mangrove"
"MDV",0,0.85,0.85,0,0.2,0.2,"Maldives","MV",462,"ISO 3166-2:MV","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_marsh",0,"Marsh"
"MDV",0,0.85,0.85,0,0.2,0.2,"Maldives","MV",462,"ISO 3166-2:MV","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_mangrove",0.009350164,"Mangrove"
"MEX",4742.12,7323.94,12066.06,683.04,874.41,1557.79,"Mexico","MX",484,"ISO 3166-2:MX","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",45.718876,"Marsh"
"MEX",4742.12,7323.94,12066.06,683.04,874.41,1557.79,"Mexico","MX",484,"ISO 3166-2:MX","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",40.87938289,"Mangrove"
"MHL",0,0.01,0.01,0,0,0,"Marshall Islands","MH",584,"ISO 3166-2:MH","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"MHL",0,0.01,0.01,0,0,0,"Marshall Islands","MH",584,"ISO 3166-2:MH","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0,"Mangrove"
"MMR",0,5096.77,5096.77,0,958.73,959.35,"Myanmar","MM",104,"ISO 3166-2:MM","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"MMR",0,5096.77,5096.77,0,958.73,959.35,"Myanmar","MM",104,"ISO 3166-2:MM","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",44.82141187,"Mangrove"
"MNE",1.05,0,1.05,0.34,0,0.34,"Montenegro","ME",499,"ISO 3166-2:ME","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",0.022758,"Marsh"
"MNE",1.05,0,1.05,0.34,0,0.34,"Montenegro","ME",499,"ISO 3166-2:ME","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"MNP",0,0.27,0.27,0,0.07,0.07,"Northern Mariana Islands","MP",580,"ISO 3166-2:MP","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"MNP",0,0.27,0.27,0,0.07,0.07,"Northern Mariana Islands","MP",580,"ISO 3166-2:MP","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0.003272557,"Mangrove"
"MOZ",0,2967.18,2967.18,0,86.09,86.09,"Mozambique","MZ",508,"ISO 3166-2:MZ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"MOZ",0,2967.18,2967.18,0,86.09,86.09,"Mozambique","MZ",508,"ISO 3166-2:MZ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",4.024777934,"Mangrove"
"MRT",0,1.94,1.94,0,0.38,0.38,"Mauritania","MR",478,"ISO 3166-2:MR","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"MRT",0,1.94,1.94,0,0.38,0.38,"Mauritania","MR",478,"ISO 3166-2:MR","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",0.017765311,"Mangrove"
"MTQ",0,10.82,10.82,0,1.64,1.64,"Martinique","MQ",474,"ISO 3166-2:MQ","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"MTQ",0,10.82,10.82,0,1.64,1.64,"Martinique","MQ",474,"ISO 3166-2:MQ","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.076671342,"Mangrove"
"MYS",0,5583.57,5583.57,0,3247.49,3249.08,"Malaysia","MY",458,"ISO 3166-2:MY","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"MYS",0,5583.57,5583.57,0,3247.49,3249.08,"Malaysia","MY",458,"ISO 3166-2:MY","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",151.8228144,"Mangrove"
"MYT",0,5.16,5.16,0,1.17,1.17,"Mayotte","YT",175,"ISO 3166-2:YT","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"MYT",0,5.16,5.16,0,1.17,1.17,"Mayotte","YT",175,"ISO 3166-2:YT","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.054698457,"Mangrove"
"NCL",0,247.67,247.67,0,37.03,37.03,"New Caledonia","NC",540,"ISO 3166-2:NC","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_marsh",0,"Marsh"
"NCL",0,247.67,247.67,0,37.03,37.03,"New Caledonia","NC",540,"ISO 3166-2:NC","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_mangrove",1.731182796,"Mangrove"
"NGA",0,6381.64,6381.64,0,1329.96,1329.83,"Nigeria","NG",566,"ISO 3166-2:NG","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"NGA",0,6381.64,6381.64,0,1329.96,1329.83,"Nigeria","NG",566,"ISO 3166-2:NG","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",62.17671809,"Mangrove"
"NIC",0,750.84,750.84,0,135.78,135.78,"Nicaragua","NI",558,"ISO 3166-2:NI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"NIC",0,750.84,750.84,0,135.78,135.78,"Nicaragua","NI",558,"ISO 3166-2:NI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",6.347826087,"Mangrove"
"NLD",156.45,0,156.45,54.78,0,54.78,"Netherlands","NL",528,"ISO 3166-2:NL","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_marsh",3.666667,"Marsh"
"NLD",156.45,0,156.45,54.78,0,54.78,"Netherlands","NL",528,"ISO 3166-2:NL","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_mangrove",0,"Mangrove"
"NRU",0,0.03,0.03,0,0,0,"Nauru","NR",520,"ISO 3166-2:NR","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"NRU",0,0.03,0.03,0,0,0,"Nauru","NR",520,"ISO 3166-2:NR","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0,"Mangrove"
"NZL",196.5,272.49,469,15.49,24.24,39.73,"New Zealand","NZ",554,"ISO 3166-2:NZ","Oceania","Oceania","Oceania","Australia and New Zealand","",9,53,NA,"nar_marsh",1.036814,"Marsh"
"NZL",196.5,272.49,469,15.49,24.24,39.73,"New Zealand","NZ",554,"ISO 3166-2:NZ","Oceania","Oceania","Oceania","Australia and New Zealand","",9,53,NA,"nar_mangrove",1.133239832,"Mangrove"
"OMN",0,2.25,2.25,0,0.05,0.05,"Oman","OM",512,"ISO 3166-2:OM","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0,"Marsh"
"OMN",0,2.25,2.25,0,0.05,0.05,"Oman","OM",512,"ISO 3166-2:OM","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.002337541,"Mangrove"
"PAK",0,588.25,588.25,0,101.05,101.05,"Pakistan","PK",586,"ISO 3166-2:PK","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_marsh",0,"Marsh"
"PAK",0,588.25,588.25,0,101.05,101.05,"Pakistan","PK",586,"ISO 3166-2:PK","Asia","Asia","Asia","Southern Asia","",142,34,NA,"nar_mangrove",4.724170173,"Mangrove"
"PAN",0,1550.44,1550.44,0,368.19,368.19,"Panama","PA",591,"ISO 3166-2:PA","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"PAN",0,1550.44,1550.44,0,368.19,368.19,"Panama","PA",591,"ISO 3166-2:PA","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",17.21318373,"Mangrove"
"PER",275.24,37.23,312.47,87.72,11.87,99.59,"Peru","PE",604,"ISO 3166-2:PE","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",5.871486,"Marsh"
"PER",275.24,37.23,312.47,87.72,11.87,99.59,"Peru","PE",604,"ISO 3166-2:PE","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",0.554932211,"Mangrove"
"PHL",0,2598.62,2598.62,0,1005.64,1005.86,"Philippines","PH",608,"ISO 3166-2:PH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"PHL",0,2598.62,2598.62,0,1005.64,1005.86,"Philippines","PH",608,"ISO 3166-2:PH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",47.01449275,"Mangrove"
"PLW",0,67.45,67.45,0,17.55,17.55,"Palau","PW",585,"ISO 3166-2:PW","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"PLW",0,67.45,67.45,0,17.55,17.55,"Palau","PW",585,"ISO 3166-2:PW","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0.820476858,"Mangrove"
"PNG",0,4870.99,4870.99,0,1959.41,1962.53,"Papua New Guinea","PG",598,"ISO 3166-2:PG","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_marsh",0,"Marsh"
"PNG",0,4870.99,4870.99,0,1959.41,1962.53,"Papua New Guinea","PG",598,"ISO 3166-2:PG","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_mangrove",91.60402057,"Mangrove"
"PRI",58.76,83.77,142.52,7.35,10.48,17.82,"Puerto Rico","PR",630,"ISO 3166-2:PR","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0.491968,"Marsh"
"PRI",58.76,83.77,142.52,7.35,10.48,17.82,"Puerto Rico","PR",630,"ISO 3166-2:PR","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.489948574,"Mangrove"
"PRT",198.54,0,198.54,25.5,0,25.5,"Portugal","PT",620,"ISO 3166-2:PT","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",1.706827,"Marsh"
"PRT",198.54,0,198.54,25.5,0,25.5,"Portugal","PT",620,"ISO 3166-2:PT","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"PYF",0,0.01,0.01,0,0,0,"French Polynesia","PF",258,"ISO 3166-2:PF","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"PYF",0,0.01,0.01,0,0,0,"French Polynesia","PF",258,"ISO 3166-2:PF","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0,"Mangrove"
"QAT",0,3.85,3.85,0,0.08,0.08,"Qatar","QA",634,"ISO 3166-2:QA","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0,"Marsh"
"QAT",0,3.85,3.85,0,0.08,0.08,"Qatar","QA",634,"ISO 3166-2:QA","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.003740065,"Mangrove"
"ROU",701.73,0,701.73,224.94,0,224.54,"Romania","RO",642,"ISO 3166-2:RO","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_marsh",15.056225,"Marsh"
"ROU",701.73,0,701.73,224.94,0,224.54,"Romania","RO",642,"ISO 3166-2:RO","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_mangrove",0,"Mangrove"
"RUS",7007.19,0,7007.19,648.09,0,648.25,"Russian Federation","RU",643,"ISO 3166-2:RU","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_marsh",43.379518,"Marsh"
"RUS",7007.19,0,7007.19,648.09,0,648.25,"Russian Federation","RU",643,"ISO 3166-2:RU","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_mangrove",0,"Mangrove"
"SAU",0.19,81.74,81.93,0,1.02,1.03,"Saudi Arabia","SA",682,"ISO 3166-2:SA","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0,"Marsh"
"SAU",0.19,81.74,81.93,0,1.02,1.03,"Saudi Arabia","SA",682,"ISO 3166-2:SA","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.047685835,"Mangrove"
"SDN",0,2.83,2.83,0,0.04,0.04,"Sudan","SD",729,"ISO 3166-2:SD","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_marsh",0,"Marsh"
"SDN",0,2.83,2.83,0,0.04,0.04,"Sudan","SD",729,"ISO 3166-2:SD","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_mangrove",0.001870033,"Mangrove"
"SEN",0,1363.4,1363.4,0,372.5,372.6,"Senegal","SN",686,"ISO 3166-2:SN","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"SEN",0,1363.4,1363.4,0,372.5,372.6,"Senegal","SN",686,"ISO 3166-2:SN","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",17.41467976,"Mangrove"
"SGP",0,2.38,2.38,0,1.54,1.54,"Singapore","SG",702,"ISO 3166-2:SG","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"SGP",0,2.38,2.38,0,1.54,1.54,"Singapore","SG",702,"ISO 3166-2:SG","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",0.07199626,"Mangrove"
"SLB",0,464.47,464.47,0,57.17,57.17,"Solomon Islands","SB",90,"ISO 3166-2:SB","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_marsh",0,"Marsh"
"SLB",0,464.47,464.47,0,57.17,57.17,"Solomon Islands","SB",90,"ISO 3166-2:SB","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_mangrove",2.672744273,"Mangrove"
"SLE",0,1462,1462,0,399.89,399.49,"Sierra Leone","SL",694,"ISO 3166-2:SL","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"SLE",0,1462,1462,0,399.89,399.49,"Sierra Leone","SL",694,"ISO 3166-2:SL","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",18.69518467,"Mangrove"
"SLV",0,339.24,339.24,0,36.83,36.83,"El Salvador","SV",222,"ISO 3166-2:SV","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"SLV",0,339.24,339.24,0,36.83,36.83,"El Salvador","SV",222,"ISO 3166-2:SV","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",1.721832632,"Mangrove"
"SOM",0,21.34,21.34,0,0.59,0.59,"Somalia","SO",706,"ISO 3166-2:SO","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"SOM",0,21.34,21.34,0,0.59,0.59,"Somalia","SO",706,"ISO 3166-2:SO","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.027582983,"Mangrove"
"SUR",0,749.03,749.03,0,233.59,233.71,"Suriname","SR",740,"ISO 3166-2:SR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0,"Marsh"
"SUR",0,749.03,749.03,0,233.59,233.71,"Suriname","SR",740,"ISO 3166-2:SR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",10.92052361,"Mangrove"
"SVN",2.21,0,2.21,0.71,0,0.71,"Slovenia","SI",705,"ISO 3166-2:SI","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",0.047523,"Marsh"
"SVN",2.21,0,2.21,0.71,0,0.71,"Slovenia","SI",705,"ISO 3166-2:SI","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"SWE",49.86,0,49.86,15.97,0,15.97,"Sweden","SE",752,"ISO 3166-2:SE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",1.068942,"Marsh"
"SWE",49.86,0,49.86,15.97,0,15.97,"Sweden","SE",752,"ISO 3166-2:SE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"SYC",0,10.94,10.94,0,2.49,2.49,"Seychelles","SC",690,"ISO 3166-2:SC","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"SYC",0,10.94,10.94,0,2.49,2.49,"Seychelles","SC",690,"ISO 3166-2:SC","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.116409537,"Mangrove"
"TCA",0,171.88,171.88,0,21.49,21.49,"Turks and Caicos Islands","TC",796,"ISO 3166-2:TC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"TCA",0,171.88,171.88,0,21.49,21.49,"Turks and Caicos Islands","TC",796,"ISO 3166-2:TC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",1.004675082,"Mangrove"
"TGO",0,4.02,4.02,0,0.84,0.84,"Togo","TG",768,"ISO 3166-2:TG","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"TGO",0,4.02,4.02,0,0.84,0.84,"Togo","TG",768,"ISO 3166-2:TG","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",0.039270687,"Mangrove"
