"alpha.3","area_tidal_marsh_km2","area_mangrove_km2","area_total_km2","car_marsh","car_mangrove","car_total_ggy","name","alpha.2","country.code","iso_3166.2","region","supercontinent","continent","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","category","value","habitat"
"BGR",0.32,0,0.32,0.1,0,0.1,"Bulgaria","BG",100,"ISO 3166-2:BG","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_marsh",0.006693,"Marsh"
"BGR",0.32,0,0.32,0.1,0,0.1,"Bulgaria","BG",100,"ISO 3166-2:BG","Europe","Europe","Europe","Eastern Europe","",150,151,NA,"nar_mangrove",0,"Mangrove"
"BHR",0,0.85,0.85,0,0.02,0.02,"Bahrain","BH",48,"ISO 3166-2:BH","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0,"Marsh"
"BHR",0,0.85,0.85,0,0.02,0.02,"Bahrain","BH",48,"ISO 3166-2:BH","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.000935016,"Mangrove"
"BHS",0,800.77,800.77,0,100.14,100.15,"Bahamas","BS",44,"ISO 3166-2:BS","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"BHS",0,800.77,800.77,0,100.14,100.15,"Bahamas","BS",44,"ISO 3166-2:BS","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",4.681626928,"Mangrove"
"BLM",0,0.03,0.03,0,0,0,"Saint Barthélemy","BL",652,"ISO 3166-2:BL","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"BLM",0,0.03,0.03,0,0,0,"Saint Barthélemy","BL",652,"ISO 3166-2:BL","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0,"Mangrove"
"BLZ",0,570.74,570.74,0,61.02,61.02,"Belize","BZ",84,"ISO 3166-2:BZ","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"BLZ",0,570.74,570.74,0,61.02,61.02,"Belize","BZ",84,"ISO 3166-2:BZ","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",2.852734923,"Mangrove"
