year,scenario,area scenario,SLR scenario,wetland area,marsh area,mangrove area,gross loss marsh,gross loss mangrove,high gross loss marsh,high gross loss mangrove,SLRmm,SLRmmyr,elevation gain,elevation loss for lost wetlands mm,marshNgain,mangNgain,totalgain,marshNloss,mangroveNloss,totalloss,NetN
2010.00,reconstruction,gain,past,202239.00,52582.14,149657.00,-298.00,2298.00,-596.00,4596.00,-25.00,3.26,-25.00,500.00,-2.00,-6.00,-8.00,0.00,4.00,3.00,-5.00
2015.00,reconstruction,gain,past,201239.00,52322.14,148917.00,-558.00,1558.00,-1116.00,3116.00,-13.00,3.38,-13.00,500.00,-1.00,-3.00,-4.00,-1.00,3.00,2.00,-2.00
2020.00,reconstruction,gain,past,200239.00,52062.14,148177.00,-818.00,818.00,-1636.00,1636.00,0.00,3.50,0.00,500.00,0.00,0.00,0.00,-1.00,1.00,0.00,0.00
,contour,,,100000.00,26400.00,73600.00,,,,,294.82,1.00,294.82,500.00,11.38,37.12,48.50,0.00,0.00,0.00,48.50
,contour,,,100000.00,26400.00,73600.00,,,,,333.64,2.00,333.64,500.00,12.88,42.01,54.89,0.00,0.00,0.00,54.89
,contour,,,100000.00,26400.00,73600.00,,,,,372.45,3.00,372.45,500.00,14.38,46.89,61.27,0.00,0.00,0.00,61.27
,contour,,,100000.00,26400.00,73600.00,,,,,411.27,4.00,411.27,500.00,15.88,51.78,67.66,0.00,0.00,0.00,67.66
,contour,,,100000.00,26400.00,73600.00,,,,,450.09,5.00,450.09,500.00,17.38,56.67,74.04,0.00,0.00,0.00,74.04
,contour,,,100000.00,26400.00,73600.00,,,,,488.91,6.00,488.91,500.00,18.88,61.55,80.43,0.00,0.00,0.00,80.43
,contour,,,100000.00,26400.00,73600.00,,,,,527.73,7.00,527.73,500.00,20.37,66.44,86.82,0.00,0.00,0.00,86.82
,contour,,,100000.00,26400.00,73600.00,,,,,566.54,8.00,566.54,500.00,21.87,71.33,93.20,0.00,0.00,0.00,93.20
,contour,,,100000.00,26400.00,73600.00,,,,,605.36,9.00,605.36,500.00,23.37,76.22,99.59,0.00,0.00,0.00,99.59
,contour,,,100000.00,26400.00,73600.00,,,,,644.18,10.00,644.18,500.00,24.87,81.10,105.97,0.00,0.00,0.00,105.97
,contour,,,150000.00,39600.00,110400.00,,,,,294.82,1.00,294.82,500.00,17.07,55.68,72.75,0.00,0.00,0.00,72.75
,contour,,,150000.00,39600.00,110400.00,,,,,333.64,2.00,333.64,500.00,19.32,63.01,82.33,0.00,0.00,0.00,82.33
,contour,,,150000.00,39600.00,110400.00,,,,,372.45,3.00,372.45,500.00,21.57,70.34,91.91,0.00,0.00,0.00,91.91
,contour,,,150000.00,39600.00,110400.00,,,,,411.27,4.00,411.27,500.00,23.82,77.67,101.49,0.00,0.00,0.00,101.49
,contour,,,150000.00,39600.00,110400.00,,,,,450.09,5.00,450.09,500.00,26.07,85.00,111.07,0.00,0.00,0.00,111.07
,contour,,,150000.00,39600.00,110400.00,,,,,488.91,6.00,488.91,500.00,28.31,92.33,120.65,0.00,0.00,0.00,120.65
,contour,,,150000.00,39600.00,110400.00,,,,,527.73,7.00,527.73,500.00,30.56,99.66,130.22,0.00,0.00,0.00,130.22
,contour,,,150000.00,39600.00,110400.00,,,,,566.54,8.00,566.54,500.00,32.81,106.99,139.80,0.00,0.00,0.00,139.80
,contour,,,150000.00,39600.00,110400.00,,,,,605.36,9.00,605.36,500.00,35.06,114.32,149.38,0.00,0.00,0.00,149.38
,contour,,,150000.00,39600.00,110400.00,,,,,644.18,10.00,644.18,500.00,37.31,121.65,158.96,0.00,0.00,0.00,158.96
,contour,,,200000.00,52800.00,147200.00,,,,,294.82,1.00,294.82,500.00,22.76,74.24,97.00,0.00,0.00,0.00,97.00
,contour,,,200000.00,52800.00,147200.00,,,,,333.64,2.00,333.64,500.00,25.76,84.01,109.77,0.00,0.00,0.00,109.77
,contour,,,200000.00,52800.00,147200.00,,,,,372.45,3.00,372.45,500.00,28.76,93.79,122.54,0.00,0.00,0.00,122.54
,contour,,,200000.00,52800.00,147200.00,,,,,411.27,4.00,411.27,500.00,31.76,103.56,135.32,0.00,0.00,0.00,135.32
,contour,,,200000.00,52800.00,147200.00,,,,,450.09,5.00,450.09,500.00,34.75,113.33,148.09,0.00,0.00,0.00,148.09
,contour,,,200000.00,52800.00,147200.00,,,,,488.91,6.00,488.91,500.00,37.75,123.11,160.86,0.00,0.00,0.00,160.86
,contour,,,200000.00,52800.00,147200.00,,,,,527.73,7.00,527.73,500.00,40.75,132.88,173.63,0.00,0.00,0.00,173.63
,contour,,,200000.00,52800.00,147200.00,,,,,566.54,8.00,566.54,500.00,43.75,142.66,186.40,0.00,0.00,0.00,186.40
,contour,,,200000.00,52800.00,147200.00,,,,,605.36,9.00,605.36,500.00,46.74,152.43,199.18,0.00,0.00,0.00,199.18
,contour,,,200000.00,52800.00,147200.00,,,,,644.18,10.00,644.18,500.00,49.74,162.21,211.95,0.00,0.00,0.00,211.95
,contour,,,250000.00,66000.00,184000.00,,,,,294.82,1.00,294.82,500.00,28.46,92.80,121.25,0.00,0.00,0.00,121.25
,contour,,,250000.00,66000.00,184000.00,,,,,333.64,2.00,333.64,500.00,32.20,105.01,137.22,0.00,0.00,0.00,137.22
,contour,,,250000.00,66000.00,184000.00,,,,,372.45,3.00,372.45,500.00,35.95,117.23,153.18,0.00,0.00,0.00,153.18
,contour,,,250000.00,66000.00,184000.00,,,,,411.27,4.00,411.27,500.00,39.70,129.45,169.15,0.00,0.00,0.00,169.15
,contour,,,250000.00,66000.00,184000.00,,,,,450.09,5.00,450.09,500.00,43.44,141.67,185.11,0.00,0.00,0.00,185.11
,contour,,,250000.00,66000.00,184000.00,,,,,488.91,6.00,488.91,500.00,47.19,153.89,201.08,0.00,0.00,0.00,201.08
,contour,,,250000.00,66000.00,184000.00,,,,,527.73,7.00,527.73,500.00,50.94,166.10,217.04,0.00,0.00,0.00,217.04
,contour,,,250000.00,66000.00,184000.00,,,,,566.54,8.00,566.54,500.00,54.68,178.32,233.00,0.00,0.00,0.00,233.00
,contour,,,250000.00,66000.00,184000.00,,,,,605.36,9.00,605.36,500.00,58.43,190.54,248.97,0.00,0.00,0.00,248.97
,contour,,,250000.00,66000.00,184000.00,,,,,644.18,10.00,644.18,500.00,62.18,202.76,264.93,0.00,0.00,0.00,264.93
,contour,,,300000.00,79200.00,220800.00,,,,,294.82,1.00,294.82,500.00,34.15,111.35,145.50,0.00,0.00,0.00,145.50
,contour,,,300001.00,79200.26,220800.74,,,,,333.64,2.00,333.64,500.00,38.64,126.02,164.66,0.00,0.00,0.00,164.66
,contour,,,300002.00,79200.53,220801.47,,,,,372.45,3.00,372.45,500.00,43.14,140.68,183.82,0.00,0.00,0.00,183.82
,contour,,,300003.00,79200.79,220802.21,,,,,411.27,4.00,411.27,500.00,47.64,155.34,202.98,0.00,0.00,0.00,202.98
,contour,,,300004.00,79201.06,220802.94,,,,,450.09,5.00,450.09,500.00,52.13,170.00,222.14,0.00,0.00,0.00,222.14
,contour,,,300005.00,79201.32,220803.68,,,,,488.91,6.00,488.91,500.00,56.63,184.67,241.29,0.00,0.00,0.00,241.29
,contour,,,300006.00,79201.58,220804.42,,,,,527.73,7.00,527.73,500.00,61.12,199.33,260.45,0.00,0.00,0.00,260.45
,contour,,,300007.00,79201.85,220805.15,,,,,566.54,8.00,566.54,500.00,65.62,213.99,279.61,0.00,0.00,0.00,279.61
,contour,,,300008.00,79202.11,220805.89,,,,,605.36,9.00,605.36,500.00,70.12,228.65,298.77,0.00,0.00,0.00,298.77
,contour,,,300009.00,79202.38,220806.62,,,,,644.18,10.00,644.18,500.00,74.61,243.32,317.93,0.00,0.00,0.00,317.93
,contour,,,350000.00,92400.00,257600.00,,,,,294.82,1.00,294.82,501.00,39.84,129.91,169.75,0.00,0.00,0.00,169.75
,contour,,,350000.00,92400.00,257600.00,,,,,333.64,2.00,333.64,502.00,45.08,147.02,192.10,0.00,0.00,0.00,192.10
,contour,,,350000.00,92400.00,257600.00,,,,,372.45,3.00,372.45,503.00,50.33,164.12,214.45,0.00,0.00,0.00,214.45
,contour,,,350000.00,92400.00,257600.00,,,,,411.27,4.00,411.27,504.00,55.57,181.23,236.80,0.00,0.00,0.00,236.80
,contour,,,350000.00,92400.00,257600.00,,,,,450.09,5.00,450.09,505.00,60.82,198.33,259.15,0.00,0.00,0.00,259.15
,contour,,,350000.00,92400.00,257600.00,,,,,488.91,6.00,488.91,506.00,66.06,215.44,281.51,0.00,0.00,0.00,281.51
,contour,,,350000.00,92400.00,257600.00,,,,,527.73,7.00,527.73,507.00,71.31,232.55,303.86,0.00,0.00,0.00,303.86
,contour,,,350000.00,92400.00,257600.00,,,,,566.54,8.00,566.54,508.00,76.56,249.65,326.21,0.00,0.00,0.00,326.21
,contour,,,350000.00,92400.00,257600.00,,,,,605.36,9.00,605.36,509.00,81.80,266.76,348.56,0.00,0.00,0.00,348.56
,contour,,,350000.00,92400.00,257600.00,,,,,644.18,10.00,644.18,510.00,87.05,283.86,370.91,0.00,0.00,0.00,370.91
