study_id,DOI,site_id,impact_class,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,U_depth_m_decompressed,L_depth_m_decompressed,OC_perc,N_perc,BD_reported_g_cm3,carbon_burial_rate,carbon_burial_rate_uncertainty,nitrogen_burial_rate,nitrogen_burial_rate_uncertainty
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.075,0.08,0.13092899999999993,0.13992249999999998,7.957649609,0.36250802620791667,0.3050607754165153,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.08,0.085,0.13992249999999998,0.14891599999999997,NA,NA,0.35077020756361527,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.085,0.09,0.14891599999999997,0.15790949999999995,7.776332058203071,0.37114494607215176,0.4455013495496341,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.09,0.095,0.15790949999999995,0.16690299999999994,NA,NA,0.39780455078744287,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.095,0.1,0.16690299999999994,0.17589649999999998,9.635372341292221,0.4154628666422664,0.451463449,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.1,0.105,0.17589649999999998,0.18488999999999997,NA,NA,0.5097595367709197,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.105,0.11,0.18488999999999997,0.19388349999999996,8.661072706712133,0.4090232647910858,0.44748871616472535,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.11,0.115,0.19388349999999996,0.20287699999999995,NA,NA,0.3759435180214385,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.115,0.12,0.20287699999999995,0.2118705,7.154618139,0.3297243915903114,0.3759435180214385,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.12,0.125,0.2118705,0.22086399999999998,NA,NA,0.37859334017489354,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.125,0.13,0.22086399999999998,0.22985749999999996,6.2257168774790355,0.27428356711019036,0.48988587062000655,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.13,0.135,0.22985749999999996,0.23885099999999995,NA,NA,0.43688942755090504,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.135,0.14,0.23885099999999995,0.2478444999999999,6.754919335136417,0.27931498775455266,0.3633568627925268,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.14,0.145,0.2478444999999999,0.25683799999999996,NA,NA,0.3037358643397878,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.145,0.15,0.25683799999999996,0.26583149999999994,7.709338581556821,0.3071680228718141,0.31632251956869933,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.15,0.155,0.26583149999999994,0.27482499999999993,NA,NA,0.3428207411032501,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.155,0.16,0.27482499999999993,0.2838184999999999,7.218199009443819,0.3074226450286989,0.47531184877600363,75,6,3.4,0.3
