study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,6,,Deltaic mangrove,mangrove,2015,-7.773308,39.335235,0.3,0.45,2.02,0.12,,0.76,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,6,,Deltaic mangrove,mangrove,2015,-7.773308,39.335235,0.45,1.1,1.67,0.08,,0.91,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,6,,Deltaic mangrove,mangrove,2015,-7.773308,39.335235,1.1,1.85,1.09,0.06,,1.08,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,6,,Deltaic mangrove,mangrove,2015,-7.773308,39.335235,1.85,2,0.88,0.05,,1.02,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,0,0.15,1.61,0.13,,0.64,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,0.15,0.3,2.27,0.12,,0.65,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,0.3,0.45,2.2,0.13,,0.62,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,0.45,1.1,1.6,0.09,,0.72,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,1.1,1.85,1.14,0.06,,1.2,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,7,,Deltaic mangrove,mangrove,2015,-7.790236,39.339099,1.85,2,0.74,0.04,,1.27,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,0,0.15,2.21,0.17,,0.26,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,0.15,0.3,2,0.15,,0.29,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,0.3,0.45,2.72,0.15,,0.28,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,0.45,1.1,1.58,0.07,,0.47,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,1.1,1.85,0.6,0.04,,0.6,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,8,,Deltaic mangrove,mangrove,2015,-7.76533,39.297976,1.85,2,0.31,0.02,,0.6,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,0,0.15,2.1,0.14,,0.41,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,0.15,0.3,2.78,0.12,,0.4,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,0.3,0.45,3.04,0.13,,0.44,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,0.45,1.1,2.48,0.08,,0.6,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,1.1,1.85,1.26,0.05,,1.27,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,9,,Deltaic mangrove,mangrove,2015,-7.778774,39.300586,1.85,2,0.72,0.03,,2.21,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,0,0.15,1.31,0.12,,0.79,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,0.15,0.3,1.5,0.12,,0.72,
